78328,moon with lower section obscured | egyptian hieroglyph n010
78329,crescent moon | egyptian hieroglyph n011
78330,crescent moon | egyptian hieroglyph n012
78331,combination of crescent moon and star | egyptian hieroglyph n013
78332,star | egyptian hieroglyph n014
78333,star in circle | egyptian hieroglyph n015
78334,land with grains | egyptian hieroglyph n016
78335,land | egyptian hieroglyph n017
78336,sandy tract | egyptian hieroglyph n018
78337,combination of sandy tract and ripple of water | egyptian hieroglyph n018a
78338,combination of roll of bread and bolt | egyptian hieroglyph n018b
78339,two sandy tracts | egyptian hieroglyph n019
78340,tongue of land | egyptian hieroglyph n020
78341,short tongue of land | egyptian hieroglyph n021
78342,broad tongue of land | egyptian hieroglyph n022
78343,irrigation canal | egyptian hieroglyph n023
78344,irrigation canal system | egyptian hieroglyph n024
78345,three hills | egyptian hieroglyph n025
78346,three hills (low) | egyptian hieroglyph n025a
78347,two hills | egyptian hieroglyph n026
78348,sun over mountain | egyptian hieroglyph n027
78349,rays of sun over hill | egyptian hieroglyph n028
78350,slope of hill | egyptian hieroglyph n029
78351,mound of earth | egyptian hieroglyph n030
78352,road with shrubs | egyptian hieroglyph n031
78353,lump of clay | egyptian hieroglyph n032
78354,grain | egyptian hieroglyph n033
78355,three grains | egyptian hieroglyph n033a
78356,ingot of metal | egyptian hieroglyph n034
78357,ingot of metal | egyptian hieroglyph n034a
78358,ripple of water | egyptian hieroglyph n035
78359,three ripples of water | egyptian hieroglyph n035a
78360,canal | egyptian hieroglyph n036
78361,pool | egyptian hieroglyph n037
78362,pool | egyptian hieroglyph n037a
78363,deep pool | egyptian hieroglyph n038
78364,pool with water | egyptian hieroglyph n039
78365,pool with legs | egyptian hieroglyph n040
78366,well with ripple of water | egyptian hieroglyph n041
78367,well with line of water | egyptian hieroglyph n042
78368,egyptian hieroglyph nl001
78369,egyptian hieroglyph nl002
78370,egyptian hieroglyph nl003
78371,egyptian hieroglyph nl004
78372,egyptian hieroglyph nl005
78373,egyptian hieroglyph nl005a
78374,egyptian hieroglyph nl006
78375,egyptian hieroglyph nl007
78376,egyptian hieroglyph nl008
78377,egyptian hieroglyph nl009
78378,egyptian hieroglyph nl010
78379,egyptian hieroglyph nl011
78380,egyptian hieroglyph nl012
78381,egyptian hieroglyph nl013
78382,egyptian hieroglyph nl014
78383,egyptian hieroglyph nl015
78384,egyptian hieroglyph nl016
78385,egyptian hieroglyph nl017
78386,egyptian hieroglyph nl017a
78387,egyptian hieroglyph nl018
78388,egyptian hieroglyph nl019
78389,egyptian hieroglyph nl020
78390,egyptian hieroglyph nu001
78391,egyptian hieroglyph nu002
78392,egyptian hieroglyph nu003
78393,egyptian hieroglyph nu004
78394,egyptian hieroglyph nu005
78395,egyptian hieroglyph nu006
78396,egyptian hieroglyph nu007
78397,egyptian hieroglyph nu008
78398,egyptian hieroglyph nu009
78399,egyptian hieroglyph nu010
78400,egyptian hieroglyph nu010a
78401,egyptian hieroglyph nu011
78402,egyptian hieroglyph nu011a
78403,egyptian hieroglyph nu012
78404,egyptian hieroglyph nu013
78405,egyptian hieroglyph nu014
78406,egyptian hieroglyph nu015
78407,egyptian hieroglyph nu016
78408,egyptian hieroglyph nu017
78409,egyptian hieroglyph nu018
78410,egyptian hieroglyph nu018a
78411,egyptian hieroglyph nu019
78412,egyptian hieroglyph nu020
78413,egyptian hieroglyph nu021
78414,egyptian hieroglyph nu022
78415,egyptian hieroglyph nu022a
78416,house | egyptian hieroglyph o001
78417,egyptian hieroglyph o001a
